legal_name,dba_name,primary_sector,all_sectors,operational_states,founded_year,employee_count,estimated_revenue,contact_person,job_title,email,phone,address,city,state,zip_code
Moore PLC,Inc Moran-Cummings,Technology,"Technology, Real Estate, Energy","NC, HI, MO, CT, WY",2021,4,"$595,385",Donna Lane DDS,"Scientist, biomedical",ddds@krause.net,(706) 544-7014,9050 Christopher Station,East Lee,KY,17467
Clark Inc,Clark Inc,Technology,"Technology, Transportation, Retail",MI,1989,1657,"$32,942",Paul Woodard,"Editor, commissioning",pwoodard@anderson-martin.com,(607) 970-9977,915 Patterson Row,South Bonniestad,ND,62294
Rivera-Johnson,Inc Fowler-Bond,Technology,"Technology, Retail","PA, NE",2004,149,"$8,433,026",David Smith,"Secretary, company",dsmith@gray.com,(328) 739-6626,2217 Bush Circle Apt. 991,Danielside,AZ,97826
Andrade LLC,PLC Thomas Inc,Technology,"Technology, Energy, Healthcare","FL, SC, WI, CT",2011,49,"$7,197,744",Debbie Hamilton,Warehouse manager,dhamilton@alexander.com,(645) 523-6627,608 Emily Brooks Apt. 250,Lake Sherriview,AZ,31404
"Rose, Brown and Wagner","Rose, Brown and Wagner",Technology,Technology,"MS, LA, NC, NE",1985,225,"$119,202",Karen Pierce,"Engineer, manufacturing systems",kpierce@stephens.info,(361) 924-7309,2717 Jones Ways,East Roger,MT,82553
Wu-Wilson,Wu-Wilson,Technology,Technology,"KS, TX, ME, WI",2001,7,"$408,586",Daniel Hinton,Futures trader,dhinton@mckinney-brown.biz,(564) 808-5827,02690 Miller Mountain,Helenshire,LA,64167
Baker PLC,"Group Hanna, Mcpherson and Houston",Technology,Technology,RI,2010,4,"$1,327,759",Heather Wolfe,Investment analyst,hwolfe@golden.com,(598) 724-6682,807 Jose Gardens Suite 765,Martinton,AL,65190
Rivera LLC,Rivera LLC,Technology,Technology,"CT, AK, OK, MD",2016,26,"$1,789,583",Tyler Williams,Academic librarian,twilliams@flores-fischer.com,(949) 606-3879,805 Robert Junction Apt. 268,North Alex,NJ,60342
"Hall, Fisher and Collins","Hall, Fisher and Collins",Technology,Technology,HI,2009,2,"$1,074,976",Aaron Washington,Plant breeder/geneticist,awashington@murphy.com,(739) 723-9897,5239 Green Mountains,Port Christopherborough,WI,19061
"Booker, Schwartz and Rodriguez","Booker, Schwartz and Rodriguez",Technology,"Technology, Real Estate, Education","ME, AL, NV",2007,4050,"$204,175",Wayne Murray,Passenger transport manager,wmurray@harrison.com,(585) 855-5430,566 Megan Street Apt. 826,Amberburgh,NH,42256
"White, Davis and Bell","White, Davis and Bell",Technology,"Technology, Pharmaceuticals, Transportation","ND, CT, KY, TX, WV",2019,17,"$450,401",Nicole Turner,Air cabin crew,nturner@harris-dudley.com,(757) 558-4593,526 Anthony Gateway,North Charles,NM,91422
"Crane, Hall and Smith",Group Moore-Kelly,Technology,Technology,WV,1988,115,"$9,469,014",Arthur Hammond,"Teacher, English as a foreign language",ahammond@hickman.com,(687) 817-6800,9677 Carlos Common Apt. 204,Gilmoreborough,MO,50346
Ross-Pierce,Ross-Pierce,Technology,"Technology, Agriculture","OR, WY, WA, SD, MS",1982,771,"$11,554",William Lynch,Community development worker,wlynch@williams-pennington.com,(968) 647-8664,33003 Robin Inlet Suite 052,East Nicholasshire,MT,04040
"Williams, George and Montgomery","Williams, George and Montgomery",Technology,Technology,"CO, NM, TN, CA, WI",2005,44,"$1,802,342",Peter Gray,"Lighting technician, broadcasting/film/video",pgray@mclaughlin.com,(931) 379-8450,473 Hoffman Mountain,Port Hollystad,WV,31712
Peters-Young,Peters-Young,Technology,Technology,"HI, CT, KY, VA, MT",2013,38,"$354,152",Samantha Johnson,Higher education careers adviser,sjohnson@sellers.com,(682) 232-7556,7928 Michael Meadow Apt. 179,Lake Matthewchester,MA,04910
"Anderson, Hamilton and Estes","Anderson, Hamilton and Estes",Technology,Technology,"RI, WA, PA, IN",2022,7,"$30,149",Jacqueline Webb,Toxicologist,jwebb@conrad.com,(904) 499-6261,88414 Russell Lodge,West Vickie,NH,63477
"Lutz, Cox and Potter",LLC Sanders and Sons,Technology,"Technology, Education, Finance","NH, PA, NM",2009,713,"$342,783",Tina Alexander,Drilling engineer,talexander@krueger-edwards.com,(963) 464-8531,55244 Warner Gardens,North Chad,AZ,42229
"Knapp, Moore and Garcia","Knapp, Moore and Garcia",Technology,Technology,IN,2003,38,"$2,674,457",Derek Wood,Television camera operator,dwood@hardy.com,(561) 744-4048,07401 Perez Glens,North Melissastad,WV,13486
"Griffin, Figueroa and Griffin",Inc Matthews Group,Technology,Technology,"KS, MA",2005,21,"$2,383,233",Aaron Rogers,"Engineer, biomedical",arogers@wright.com,(648) 260-7983,29599 Robert Forge Suite 811,New Tonibury,NY,08130
